author,lat,lon,habitat_type
zooper: EMP,38.1125,-121.7081,perennial instream
zooper: EMP,38.0825,-121.7574,perennial instream
zooper: EMP,38.1397,-121.6908,perennial instream
zooper: EMP,38.0747,-121.7697,perennial instream
zooper: EMP,38.23777777777778,-121.6713888888889,perennial instream
zooper: EMP,38.1012,-121.726,perennial instream
zooper: EMP,38.0633,-121.7937,perennial instream
zooper: EMP,38.0669,-121.7842,perennial instream
zooper: EMP,38.0998,-121.7283,perennial instream
zooper: EMP,38.0721,-121.7759,perennial instream
zooper: EMP,38.1159,-121.706,perennial instream
zooper: EMP,38.1068,-121.7173,perennial instream
zooper: EMP,38.21138888888889,-121.66472222222222,perennial instream
zooper: EMP,38.0747,-121.7692,perennial instream
zooper: EMP,38.1185,-121.701,perennial instream
zooper: EMP,38.0985,-121.7302,perennial instream
zooper: EMP,38.0653,-121.7893,perennial instream
zooper: EMP,38.0678,-121.7833,perennial instream
zooper: EMP,38.0731,-121.774,perennial instream
zooper: EMP,38.119,-121.702,perennial instream
zooper: EMP,38.1192,-121.7017,perennial instream
zooper: EMP,38.0977,-121.7282,perennial instream
zooper: EMP,38.0723,-121.773,perennial instream
zooper: EMP,38.06143,-121.81368,perennial instream
zooper: EMP,38.065545,-121.838168,perennial instream
zooper: EMP,38.0611,-121.8118,perennial instream
zooper: EMP,38.1231,-121.6987,perennial instream
zooper: EMP,38.0942,-121.7357,perennial instream
zooper: EMP,38.0602,-121.8032,perennial instream
zooper: EMP,38.0598,-121.8002,perennial instream
zooper: EMP,38.1223,-121.6996,perennial instream
zooper: EMP,38.1082,-121.7164,perennial instream
zooper: EMP,38.1168,-121.7037,perennial instream
zooper: EMP,38.0913,-121.7393,perennial instream
zooper: EMP,38.0767,-121.7683,perennial instream
zooper: EMP,38.0604,-121.7998,perennial instream
zooper: EMP,38.07,-121.7792,perennial instream
zooper: EMP,38.0643,-121.7913,perennial instream
zooper: EMP,38.0788,-121.7648,perennial instream
zooper: EMP,38.088,-121.7432,perennial instream
zooper: EMP,38.1257,-121.6968,perennial instream
zooper: EMP,38.0648,-121.7893,perennial instream
zooper: EMP,38.073,-121.7762,perennial instream
zooper: EMP,38.0628,-121.7918,perennial instream
zooper: EMP,38.0995,-121.7293,perennial instream
zooper: EMP,38.0605,-121.8059,perennial instream
zooper: EMP,38.06452,-121.8448,perennial instream
zooper: EMP,38.0688,-121.7802,perennial instream
zooper: EMP,38.0655,-121.7868,perennial instream
zooper: EMP,38.0995,-121.728,perennial instream
zooper: EMP,38.1197,-121.7018,perennial instream
zooper: EMP,38.0602,-121.7939,perennial instream
zooper: EMP,38.0803,-121.7612,perennial instream
zooper: EMP,38.1002,-121.7257,perennial instream
zooper: EMP,38.0672,-121.785,perennial instream
zooper: EMP,38.0605,-121.8092,perennial instream
zooper: EMP,38.064,-121.8453,perennial instream
zooper: EMP,38.0933,-121.7368,perennial instream
zooper: EMP,38.0595,-121.8027,perennial instream
zooper: EMP,38.0712,-121.7758,perennial instream
zooper: EMP,38.0643,-121.7912,perennial instream
zooper: EMP,38.0922,-121.7357,perennial instream
zooper: EMP,38.0972,-121.7318,perennial instream
zooper: EMP,38.0607,-121.7988,perennial instream
zooper: EMP,38.0618,-121.7985,perennial instream
zooper: EMP,38.0608,-121.815,perennial instream
zooper: EMP,38.0658,-121.7862,perennial instream
zooper: EMP,38.1067,-121.7163,perennial instream
zooper: EMP,38.0657,-121.788,perennial instream
zooper: EMP,38.071,-121.7775,perennial instream
zooper: EMP,38.0763,-121.7675,perennial instream
zooper: EMP,38.106,-121.717,perennial instream
zooper: EMP,38.061,-121.7992,perennial instream
zooper: EMP,38.0727,-121.767,perennial instream
zooper: FMWT,38.07087,-121.77892,perennial instream
zooper: FMWT,38.23787,-121.68438,perennial instream
zooper: FMWT,38.17595,-121.67028,perennial instream
zooper: FMWT,38.0903,-121.74,perennial instream
zooper: FMWT,38.26815,-121.70277,perennial instream
zooper: FMWT,38.11397,-121.70797,perennial instream
zooper: FMWT,38.23615,-121.67348,perennial instream
zooper: FRP,38.24394144,-121.6636248,perennial instream
zooper: FRP,38.24498926,-121.66946,perennial instream
zooper: FRP,38.24924019,-121.6637237,perennial instream
zooper: FRP,38.25866311,-121.7925665,perennial instream
zooper: FRP,38.25902,-121.79259,perennial instream
zooper: FRP,38.25995987,-121.7906483,perennial instream
zooper: FRP,38.26030111,-121.7811813,perennial instream
zooper: FRP,38.24355,-121.68453,perennial instream
zooper: FRP,38.24246447,-121.6618801,perennial instream
zooper: FRP,38.26131864,-121.6860805,perennial instream
zooper: FRP,38.25995,-121.7926,perennial instream
zooper: FRP,38.23414087,-121.6691908,perennial instream
zooper: FRP,38.25811292,-121.653526,perennial instream
zooper: FRP,38.24640849,-121.6595325,perennial instream
zooper: FRP,38.26363244,-121.6470267,perennial instream
zooper: FRP,38.26238,-121.67883,perennial instream
zooper: FRP,38.24771,-121.67861,perennial instream
zooper: FRP,38.24967,-121.67701,perennial instream
zooper: FRP,38.26704,-121.6879,perennial instream
zooper: FRP,38.26962,-121.67718,perennial instream
zooper: FRP,38.25147542,-121.6603186,perennial instream
zooper: FRP,38.24526063,-121.6604141,perennial instream
zooper: FRP,38.23722,-121.6692,perennial instream
zooper: FRP,38.24192,-121.66946,perennial instream
zooper: STN,38.1733571745,-121.669003881,perennial instream
zooper: STN,38.0677613102,-121.775007658,perennial instream
zooper: STN,38.0900598201,-121.73900413,perennial instream
zooper: STN,38.26815,-121.70277,perennial instream
zooper: STN,38.23787,-121.68438,perennial instream
zooper: STN,38.20712,-121.66008,perennial instream
zooper: STN,38.23615,-121.67348,perennial instream
zooper: STN,38.1122585442,-121.706006162,perennial instream
zooper: 20mm,38.086083333333335,-121.75044444444444,perennial instream
zooper: 20mm,38.177416666666666,-121.66225,perennial instream
zooper: 20mm,38.283055555555556,-121.64383333333333,perennial instream
zooper: 20mm,38.26263888888889,-121.77927777777778,perennial instream
zooper: 20mm,38.23855555555556,-121.68391666666668,perennial instream
zooper: 20mm,38.25625,-121.65208333333334,perennial instream
zooper: 20mm,38.114694444444446,-121.70786111111111,perennial instream
zooper: 20mm,38.257555555555555,-121.72902777777777,perennial instream
zooper: 20mm,38.066583333333334,-121.79031111111111,perennial instream
zooper: 20mm,38.23725,-121.67308333333334,perennial instream
zooper: EMP,37.97833333333333,-121.38194444444444,perennial instream
zooper: EMP,38.04388888888889,-121.61361111111111,perennial instream
zooper: EMP,37.98277777777778,-121.57722222222222,perennial instream
zooper: EMP,38.04361111111111,-121.4263888888889,perennial instream
zooper: EMP,38.09722222222222,-121.66666666666667,perennial instream
zooper: EMP,38.02222222222222,-121.80361111111111,perennial instream
zooper: EMP,38.07777777777778,-121.57027777777778,perennial instream
zooper: EMP,38.103611111111114,-121.60555555555555,perennial instream
zooper: EMP,38.05416666666667,-121.51416666666667,perennial instream
zooper: EMP,38.00194444444445,-121.44916666666667,perennial instream
zooper: EMP,37.83444444444444,-121.55388888888889,perennial instream
zooper: EMP,38.126111111111115,-121.49527777777777,perennial instream
zooper: EMP,37.97083333333334,-121.53444444444445,perennial instream
zooper: EMP,38.052499999999995,-121.68833333333333,perennial instream
zooper: EMP,38.14555555555555,-121.55666666666666,perennial instream
zooper: EMP,38.07333333333334,-121.67666666666668,perennial instream
zooper: EMP,38.08972222222222,-121.65083333333334,perennial instream
zooper: EMP,38.0476,-121.6935,perennial instream
zooper: EMP,38.0523,-121.69015,perennial instream
zooper: EMP,38.0363,-121.706,perennial instream
zooper: EMP,38.02215,-121.80324,perennial instream
zooper: EMP,38.031666666666666,-121.83527777777778,perennial instream
zooper: EMP,38.0479,-121.6937,perennial instream
zooper: EMP,38.0262,-121.7792,perennial instream
zooper: EMP,38.0688,-121.6778,perennial instream
zooper: EMP,38.029611,-121.73094,perennial instream
zooper: EMP,38.0871,-121.6463,perennial instream
zooper: EMP,38.0475,-121.70666666666666,perennial instream
zooper: EMP,38.0701,-121.6769,perennial instream
zooper: EMP,38.0695,-121.6769,perennial instream
zooper: EMP,38.0324,-121.7241,perennial instream
zooper: EMP,38.029741,-121.734071,perennial instream
zooper: EMP,38.0279,-121.7481,perennial instream
zooper: EMP,38.0691,-121.6783,perennial instream
zooper: EMP,38.0325,-121.7266,perennial instream
zooper: EMP,38.067,-121.6767,perennial instream
zooper: EMP,38.0275,-121.7475,perennial instream
zooper: EMP,38.0303,-121.7339,perennial instream
zooper: EMP,38.0272,-121.7432,perennial instream
zooper: EMP,38.02194444444444,-121.76361111111112,perennial instream
zooper: EMP,38.0576,-121.6815,perennial instream
zooper: EMP,38.0472,-121.6944,perennial instream
zooper: EMP,38.0499,-121.6928,perennial instream
